0	Unclassified Buenos Aires 2481  original telegram was confidential but has since been de-classified
1	--------------------------------------------- ---- copy from the National Archives RG 59: general records of the Department of state 1964-66 Central foreign policy file file: Pol 33-4 ARG --------------------------------------------- ----
2	E.O. 12958: DECL: declassified by Nara 09/02/2009 Tags: EFIS, PBTs, AR subject:  extended National jurisdictions over high seas  ref: state 106206 circular; state CA-3400 Nov 2, 1966   1.  press reports and variety embassy sources confirm New Argentine legislation unilaterally changing seas JURIS- diction now under advanced review.
3	Reportedly law would establish six mile territorial Sea, plus another six miles of exclusive fishing jurisdiction, plus another extended zone of "PREFERENTIAL JURISDICTION" for fishing purposes.
4	Draft- law under consideration in Argentine Senate before June 28 coup would have defined zone of preferential jurisdiction as "EPICONTINENTAL sea out to 200 meter ISOBAR".
5	In southern Argentina this zone several hundred miles wide and blankets Falkland Islands.
6	2.  NAVATT States Argentine Navy thinking of preferential jurisdiction out to 200 miles (as in Peru, Ecuador, Chile) rather than epicontinental sea.
7	200 mile limit does not RPT not reach Falklands.
8	Argentine Navy off told NAVATT "200 mile limit soon will be standard through Hemisphere".
9	3.  FONOFF officials referring to recent Brazilian and US legislation have informally indicated decision already final Re six mile territorial sea plus six mile exclusive fishing jurisdiction, but that "PREFERENTIAL JURISDICTION" still under study.
10	Two FONOFF men voluntarily and informally sought embassy reaction to possible extended preferential jurisdiction by suggesting that US in fact has accepted unilaterally created Ecuadorian, Peruvian and Chilean 200 mile limits.
11	Emboff rejected idea US accepts these limits in any way and pointed out 1965 amendments to aid legislation aimed at further protecting US fishing rights.
12	4.  FONOFF legal advisor concedes distinction between "EXCLUSIVE" and "PREFERENTIAL" fishing jurisdiction a semantic nicety.
13	He understands that in zone of "PREFERENTIAL"
14	JURIS- diction Argentina would claim right to tax, license and other- wise control all activities related to exploitation of resources of sea.
15	5.  draft legislation on seas jurisdiction lay dormant until sudden and substantial in Fishin Argentine epicontinental seas by Cuban and East European (especially Soviet) vessels past six months alarmed Argentine armed forces.
16	(see NAVATT IR 5-804-0-140-66 of Nov 18) not RPT not all Soviet vessels were fishing or factory types.
17	FONOFF sources informally state armed forces pressure makes emission New law imperative, quite possibly appearing within next few weeks.
18	When asked by FONOFF men about "Security problems created by Soviet trawlers off US Coast"
19	, embassy off replied US did not RPT not see that unilateral attempt to extend seas jurisdiction offered any realistic solution for possible security problems, while such action could create New sources possible misunderstanding and conflict.
20	6.  Re par 3 state 106206 believe outlined proposal might forestall unilateral Argentine attempt to substantially extend "PREFERENTIAL" fishing jurisdiction only if embassy can be authorized discuss idea with Argentines immediately.
21	Even then chances success limited by (a) advanced stage proposed Argentine law and (b) primacy security considerations Argentine thinking. we would benefit some from FONOFF legal Advisors' qualms about unilateral action, and from restraint of recent Brazilian legislation which did not RPT not go beyond 12-mile limit.
22	7.  for discussion with Argentines would modify text in state 10942 circular to:  (a) make all References to Argentina, vice Canada; (b) refer to proposed Argentine claims of preferential jurisdiction over waters we regard as high seas; (C) eliminate References to "Traditional distant water fisheries", since Argentine Coast not RPT not traditional fishing zone (whereas No. 3);  (D) add notation there no traditional fishing and confine operative agreement to provisions for non-traditional fishing; (e) eliminate last three pars of aide-memoire handed to Canadian Amb.
23	8.  if authorized, envisage two-step approach to FONOFF.
24	First, informal and oral, stressing our interest in freedom of high seas, noting earlier FONOFF confirmation New law under study, outlining our proposal in general terms.  on basis FONOFF reaction, we would then couch aide-memoire in terms which would appear most likely to succeed.
25	GP-3
26	Saccio
27	Unclassified section 01 of 01 Tehran 1164  E.O. 12958: as amended; declassified June 21, 2006 Tags: mass, Marr, IR subject: acceleration of F-4Es for Iran  ref: Tehran 1091: Tehran 263: Moscow 1603  country team.
28	Message   begin summary  general Azimi, Minister of war, on instruction of Shah asks that we take another hard look at F-4E production line in order accelerate delivery of one Squadron of F-4Es to Iran in 1972. request reflects Shah's increasing concern over Soviet ambitions in area and especially threat Shah sees to Iran of friendship treaty under consideration by Iraq and USSR. Shah recognizes problems this poses for US but is turning to USG with this request to give Iran higher priority on FA-4E production schedule because he regards US as most dependable friend.
29	End summary  action requested: country team recommends US review F-4E production line and respond favorably to Shah's request for 16 F-4Es in 1972 from whatever source may be available.
30	1. on Feb 24 charge was convoked by Minster of war, Gen.
31	REZANUZIMI, on instructions from Shah.
32	Azimi said Shah most deeply concerned at trends in security situation in middle East and expecially on his Western borders.
33	US officals already aware of Shah's concern through discussions with foreign Minister and other GOI officials (see REFTELS), but recent developments in Iraq Soviet relations including agreement to deliver more MiGs and other military equipment plus indication that recent Iraqi-Soviet talks in Moscow included consideration of friendship treaty as well as increased military cooperation inject New sense of urgency in Shah's timetable for MODERNINZING and strenthening his armed forces.
34	Most Specifically, situation required Iran accelerate its military procurement and host particularly delivery of F-4E aircraft.
35	2. Azimi recalled that GOI had requested delivery of 16 of F-4E aircraft now on order by Iran (first of which was not scheduled for delivery until August 1973) be advanced to Cy 1972.
36	However, GOI had recently been informed by USG and McDonnell-Douglas that production line for Iran could not RPT not be advanced to meet 1972 delivery dates desired.
37	Shah was most disturbed, as addition of F-4Es in 1972 was vital to Iran's security at this time.
38	Shah had directed that USG be asked, if production for Iran could not in fact be advanced, to make requested F-4Es available from other sources.
39	Shah's desire is for DELIIVERY of F-4Fs in lots of four during June to December time-frame.
40	3. charge reviewed recent developments in US-Iran military cooperation, including equipment and credit, and stressed that record indicated we understood and appreciated Shah's concerns and desires and had been exceptionally responsive to Shah's wishes.
41	Currently, Azimi's deputy Gen.
